title,description,incident_date
Discovery of Penicillin,Alexander Fleming discovers the first antibiotic at St. Mary's Hospital in London.,1928-09-28
First Television Demonstration,John Logie Baird demonstrates the first working television system.,1926-01-26
Salt March (Dandi March),Mahatma Gandhi leads a 24-day nonviolent protest march against the British salt monopoly in India.,1930-03-12
Stock Market Crash (Black Tuesday),The Wall Street crash marks the beginning of the Great Depression.,1929-10-29
Independence of India,India gains independence from British rule after nearly 200 years.,1947-08-15
Founding of the United Nations,The UN is established to maintain international peace and security after WWII.,1945-10-24
Apollo 11 Moon Landing,Neil Armstrong and Buzz Aldrin become the first humans to walk on the moon.,1969-07-20
Fall of the Berlin Wall,The wall symbolising the Cold War division of Europe is breached.,1989-11-09
Dissolution of the Soviet Union,The USSR officially ceases to exist marking the end of the Cold War.,1991-12-26
World Wide Web Public Launch,Tim Berners-Lee opens the web to the public.,1991-08-06
Indian Economic Liberalisation,India initiates major economic reforms under Finance Minister Manmohan Singh.,1991-07-24
First Human Heart Transplant,Dr. Christiaan Barnard performs the world's first successful heart transplant.,1967-12-03
Invention of the Transistor,Bell Labs scientists invent the transistor revolutionizing electronics.,1947-12-23
Discovery of DNA Structure,Watson and Crick reveal the double helix structure of DNA.,1953-02-28
Creation of the Euro,The Euro is introduced as an accounting currency in 11 countries.,1999-01-01
9/11 Terrorist Attacks,Coordinated terrorist attacks hit the World Trade Center and the Pentagon.,2001-09-11
Launch of the iPhone,Apple introduces the first iPhone changing the mobile industry forever.,2007-06-29
Indian Tsunami,A massive tsunami triggered by an undersea earthquake causes devastation in India and Southeast Asia.,2004-12-26
Mangalyaan (Mars Orbiter Mission),India's first interplanetary mission successfully enters Mars orbit.,2014-09-24
COVID-19 Pandemic Declaration,The WHO declares the coronavirus outbreak a global pandemic.,2020-03-11
Green Revolution in India,India begins a series of initiatives to increase agricultural productivity.,1966-01-01
Indira Gandhi's Assassination,Prime Minister Indira Gandhi is assassinated by her bodyguards.,1984-10-31
